condition,grid_size,scope,npc_count,knowledge_mode,response_mode,competitor_mode,n,speaker_correct,party_correct,speaker_available,party_available,speaker_direct_coverage,party_direct_coverage,party_knowledge_coverage,median_ms,p95_ms,max_ms,errors,tool_call_rate
v2 party2 15 embodied deterministic none,15,party,2,embodied,deterministic,none,50,1.0,0.88,0.38,0.5,0.3167111111111111,0.5663111111111111,0.5663111111111111,0.0035413540899753,0.0051794573664664945,0.0149579718708992,0,0.0
v2 party2 15 embodied llm competitor-all,15,party,2,embodied,llm,all,50,0.08,0.1,0.3,0.54,0.3173333333333333,0.5565333333333333,0.5565333333333333,1963.9939377084374,2560.6365831568837,3307.975667528808,0,0.84
v2 party2 15 embodied llm competitor-one,15,party,2,embodied,llm,one,50,0.08,0.08,0.36,0.56,0.31466666666666665,0.5552888888888888,0.5552888888888888,1859.8919790238142,2613.8315146788955,4388.131500221789,0,0.84
v2 party2 15 embodied llm none,15,party,2,embodied,llm,none,50,0.4,0.4,0.38,0.5,0.3167111111111111,0.5663111111111111,0.5663111111111111,1817.5049996934831,2852.55017094314,3713.536959141493,0,0.88
v2 party2 15 embodied slm competitor-all,15,party,2,embodied,slm,all,50,0.3,0.26,0.3,0.54,0.3173333333333333,0.5565333333333333,0.5565333333333333,2953.2482707872987,8317.23293326795,30717.55695808679,6,0.06
v2 party2 15 embodied slm competitor-one,15,party,2,embodied,slm,one,50,0.22,0.2,0.36,0.56,0.31466666666666665,0.5552888888888888,0.5552888888888888,2927.296166308224,7799.343130830671,20985.960542224348,1,0.06
v2 party2 15 embodied slm none,15,party,2,embodied,slm,none,50,0.3,0.3,0.38,0.5,0.3167111111111111,0.5663111111111111,0.5663111111111111,2273.5200212337077,9260.195023426779,49761.75941620022,1,0.08
v2 party2 40 embodied deterministic none,40,party,2,embodied,deterministic,none,50,1.0,0.86,0.4,0.54,0.2913625,0.51055,0.51055,0.0035827979445457,0.008058641105890219,0.0175843015313148,0,0.0
v2 party2 40 embodied llm competitor-all,40,party,2,embodied,llm,all,50,0.1,0.08,0.3,0.48,0.2964875,0.5049,0.5049,1885.2975624613464,2846.451066061854,3697.921708226204,0,0.84
v2 party2 40 embodied llm competitor-one,40,party,2,embodied,llm,one,50,0.12,0.12,0.42,0.48,0.2966125,0.49950000000000006,0.49950000000000006,1887.4734374694526,2356.4424790441985,3207.8742077574134,0,0.78
v2 party2 40 embodied llm none,40,party,2,embodied,llm,none,50,0.44,0.42,0.4,0.54,0.2913625,0.51055,0.51055,1663.1774161942303,2324.768520146608,3233.6053336039186,0,0.92
v2 party2 40 embodied slm competitor-all,40,party,2,embodied,slm,all,50,0.38,0.36,0.3,0.48,0.2964875,0.5049,0.5049,2946.8248332850635,4059.146393928677,54750.91604143381,5,0.02
v2 party2 40 embodied slm competitor-one,40,party,2,embodied,slm,one,50,0.34,0.34,0.42,0.48,0.2966125,0.49950000000000006,0.49950000000000006,2981.015978846699,4632.596575422211,26633.75949952751,3,0.02
v2 party2 40 embodied slm none,40,party,2,embodied,slm,none,50,0.22,0.2,0.4,0.54,0.2913625,0.51055,0.51055,2571.3182291947305,5480.472193937743,35402.73024979979,1,0.04
v2 party4 15 embodied deterministic none,15,party,4,embodied,deterministic,none,50,1.0,0.64,0.12,0.48,0.12488888888888885,0.4980444444444444,0.4980444444444444,0.0033546239137649,0.005710730329155876,0.0165421515703201,0,0.0
v2 party4 15 embodied llm competitor-all,15,party,4,embodied,llm,all,50,0.04,0.04,0.12,0.52,0.12097777777777774,0.4980444444444444,0.4980444444444444,1916.7044372297823,2421.100881090387,3085.698375478387,0,0.98
